iteration,estimate,residual,error,rate,phase
1,5000.5,0.684401040652372,4800.30312290901,,bisection
2,2500.75,0.528471956846491,2300.55312290901,0.479251635574809,bisection
3,1250.875,0.339720454590357,1050.67812290901,0.456706742585645,bisection
4,625.9375,0.170591469246219,425.740622909006,0.405205565459249,bisection
5,313.46875,0.0512743123617877,113.271872909006,0.266058409308091,bisection
6,157.234375,-0.0207597758951659,42.962502090994,0.379286587108053,bisection
7,235.3515625,0.0164351345366971,35.154685409006,0.81826438633739,bisection
8,196.29296875,-0.00185532116634589,3.90390834099398,0.111049446057448,bisection
9,215.822265625,0.00736504093152385,15.625388534006,4.00249882148299,bisection
10,206.0576171875,0.00277384223869623,5.86074009650602,0.375078039419699,bisection
11,200.18237741996,-6.8796120113318e-06,0.0144996710338887,,newton
12,200.196876967902,-5.84027964878331e-11,1.2309189401094e-07,0.000585481471823581,newton
13,200.196877090994,-1.2490009027033e-16,0,0,newton
