iteration,estimate,residual,error,rate,phase
1,5000.5,0.684401040652372,4800.30312186945,,bisection
2,2500.75,0.528471956846491,2300.55312186945,0.479251635462036,bisection
3,1250.875,0.339720454590357,1050.67812186945,0.456706742340147,bisection
4,625.9375,0.170591469246219,425.740621869452,0.405205564870752,bisection
5,313.46875,0.0512743123617877,113.271871869452,0.266058407515987,bisection
6,157.234375,-0.0207597758951659,42.9625031305477,0.379286599766469,bisection
7,235.3515625,0.0164351345366971,35.1546843694523,0.818264342341268,bisection
8,196.29296875,-0.00185532116634589,3.9039093805477,0.111049478912119,bisection
9,215.822265625,0.00736504093152385,15.6253874944523,4.00249748939104,bisection
10,206.0576171875,0.00277384223869623,5.8607390569523,0.375077997843773,bisection
11,201.17529296875,0.000464031247428304,0.978414838202298,0.166943934663266,bisection
12,198.734130859375,-0.000694449124127916,1.4627472711727,1.49501746504611,bisection
13,199.954711914062,-0.00011491037498014,0.242166216485202,0.165555746544688,bisection
14,200.565002441406,0.000174635027701445,0.368124310858548,1.52013074408768,bisection
15,200.259857177734,2.98809803976341e-05,0.0629790471866727,0.171080923831929,bisection
16,200.107284545898,-4.25100330108535e-05,0.0895935846492648,1.42259352358421,bisection
17,200.183570861816,-6.31336033299346e-06,0.0133072687312961,0.148529258912795,bisection
18,200.221714019775,1.17841015137288e-05,0.0248358892276883,1.86634009797061,bisection
19,200.202642440796,2.73544346220123e-06,0.00576431024819613,0.2320959880015,bisection
20,200.193106651306,-1.78894021710119e-06,0.00377147924154997,0.654281098546042,bisection
21,200.197874546051,4.73256177094261e-07,0.000996415503323078,0.264197530864198,bisection
22,200.195490598679,-6.57840881435057e-07,0.00138753186911345,1.39252336448598,bisection
23,200.196682572365,-9.22920674328864e-08,0.000195558182895184,0.140939597315436,bisection
24,200.197278559208,1.90482126030678e-07,0.000400428660213947,2.04761904761905,bisection
25,200.196980565786,4.90950469583806e-08,0.000102435238659382,0.255813953488372,bisection
26,200.196831569076,-2.15985056922774e-08,4.65614721179008e-05,0.454545454545455,bisection
27,200.196906067431,1.37482718681747e-08,2.79368832707405e-05,0.6,bisection
28,200.196868818253,-3.92511680102903e-09,9.31229442358017e-06,0.333333333333333,bisection
29,200.196887442842,4.91157767235073e-09,9.31229442358017e-06,1,bisection
30,200.196878130548,4.93230428721958e-10,0,0,bisection
